MarketName,Street,City,County,State,Zipcode,Longitude,Latitude
La Cinenega CFM at Kaiser WLA,6041 Cadillac Avenue,Los Angeles,Los Angeles,California,90034,-118.376,34.0382
La Crescent Farmers Market,420 S 2nd Street,La Crescent,Houston,Minnesota,55947,-91.30648,43.827177
La Familia Verde Farmers Market,East Tremont Ave. at Lafontaine Ave.,Bronx,Bronx,New York,10460,-73.8944,40.8462
La Grande Farmers Market,Adams Ave and 4th Street,La Grande,Union,Oregon,97850,-118.096466,45.329719
La Grange Farmers Market,53 S. LaGrange Rd.,La Grange,Cook,Illinois,60525,-87.868609,41.813802
La Grange Farmers' Market & Artisans,100 W. Main Street,La Grange,Oldham,Kentucky,40031,-85.3796,38.4076
La Jara Farmer's Market,Corner of Girard St. and Genter Ave.,La Jolla,,California,92037,-117.272,32.8376
La Marqueta,1607 Park avenue,Manhattan,New York,New York,10029,-73.9437,40.7982
La Marqueta Farmers Market,"La Marqueta, E. 115th St & Park Ave, E. Harlem",New York City,New York,New York,,-73.9438,40.7983
La Mesa Certified Farmers Market,Corner of University and Spring St.,La Mesa,San Diego,California,91941,-117.0216728,32.7673331
La Plata Farmers' Market,Washington Avenue,La Plata,Charles,Maryland,20646,-76.978626,38.530173
La Plaza Latino Farmer's Market,"4802 Warwick Road, Richmond, VA 23224",Richmond,Richmond City,Virginia,23224,-77.4797785,37.4835568
La posada FM,Continental Rd and Park centre Ave,Green Valley,Pima County,Arizona,,-110.975,31.8565
La Reine Farmers Market,Estate Body Slob,Saint Croix,Christiansted,Virgin Islands,,-64.7789,17.7322
La Union Farmers' Market,"Town Park, corner of Telles & Campo Santo",La Union,Dona Ana,New Mexico,,-106.664,31.9481
LaCenter Community Farmers Market,401 Aspen Ave. (between 4th St. & 5th St.),La Center,,Washington,98629,-122.671,45.8623
Lacey Farmers Market,Woodland Loop Square,Lacey,Thurston,Washington,98503,-122.824,47.0414
Laconia Farmers Market,East Beacon Street Extension,Laconia,Belknap,New Hampshire,3247,-71.468506,43.527637
Laconia Main Street Outdoor Marketplace,Main and Pleasant Streets,Laconia,Belknap,New Hampshire,3246,-71.470184,43.528513
LaCrosse Farmers Market,North of the Railroad Tracks on East Side,LaCrosse,Rush,Kansas,67548,-99.3115,38.5336
Ladybug Open-Air Market,Corner of School Street & M-53,Almont,Lapeer,Michigan,48003,-83.0452,42.9215
Ladysmith Village Farmers Market,17290 Library Blvd,Ruther Glen,Caroline,Virginia,22546,-77.522201,38.025303
Lafayette County Famers Market (Concordia),"Central Park, 600 Main Street",Concordia,Lafayette,Missouri,,-93.5726,38.9858
Lafayette County Farmers' Market - Higginsville,15 East 20th Street,Higginsville,Lafayette,Missouri,64037,-93.716878,39.075013
Lafayette County Farmers' Market - Lexington,1211 Main Street,Lexington,Lafayette,Missouri,64067,-93.880845,39.185393
Lafayette County Farmers' Market - Odessa,100 Main Street,Odessa,Lafayette,Missouri,64076,-93.95197,39.000948
Lafayette Farmers Market,Lafayette Park Plaza at Moraga Road and Mt. Diablo Blvd,Lafayette,Contra Costa,California,94549,-122.118,37.8918
Lafayette Farmers' Market,355 W South Boulder Rd,Lafayette,Boulder,Colorado,80026,-105.09397,39.987182
Lafayette Jockey Lot Flea Market,3011 N.W. Evangeline Thwy,Lafayette,Lafayette,Louisiana,70507,-92.0230179,30.284513
Lafayette's Hub City Farmer's Market,427 Heymann Blvd,Lafayette,Lafayette,Louisiana,70503,-92.0156,30.2036
Lafourche Central Market,4484 LA Hwy. 1,Raceland,,Louisiana,70394,-90.5716,29.707
LaGrange Community Farmers Market,East Spring Street,LaGrange,LaGrange,Indiana,46761,-85.4141,41.644
Laguna Hills Certified Farmers' Market,"I-5 & El Toro Road, Laguna Hills Mall",Laguna Hills,Orange,California,,-117.706,33.6089
laguna niguel CFM,La Paz and Pacific Park,Laguna Niguel,Orange,California,92677,-117.709022,33.567645
Lahaina Produce Farmers Market,381 Baldwin Ave,Paia,Maui,Hawaii,96779,-156.689608,20.935889
Lake Area Growers Market,7th St. & Maple St.,Brainerd,Crow Wing,Minnesota,56401,-94.1992,46.3547
Lake Arrowhead Farmers Market,"28200 Hwy. 189, Hwys. 189 & 173",Lake Arrowhead,San Bernardino,California,92352,-117.19,34.2494
Lake City Farmers Market,NE 125th Str. and 28th Ave NE,Seattle,King,Washington,98125,-122.2976645,47.7192913
Lake City Farmers Market,111 Henry Street,Lake City,Florence,South Carolina,29560,-79.754055,33.870752
Lake DeSoto Farmers Market,778 NE Lake DeSoto Circle,Lake City,Columbia,Florida,32055,-82.635341,30.192525
Lake Forest Park Farmers Market,17171 Bothell Way NE,Lake Forest Park,King,Washington,98155,-122.278,47.7529
Lake Leelanau Farmers Market,116 E Phillips Strees (M-204),Lake Leelanau,Leelanau,Michigan,49653,-85.7200059,44.9810613
Lake Mary Farmers' Market,100 N 4th Street,Lake Mary,Seminole,Florida,32746,-81.323783,28.756994
Lake Metroparks Farmpark Farmers' Market,8800 Euclid Chardon Rd,Kirtland,Lake,Ohio,44094,-81.328375,41.577281
Lake Mills Farmers Market,Corner of US 69 & 1st Avenue,Lake Mills,Winnebago,Iowa,50450,-93.6021,43.1018
Lake Mills Farmers' Market,100 North Main Street - Commons Park,Lake Mills,Jefferson,Wisconsin,53551,-88.907965,43.074024
Lake Milton Farmers Market,Lake Milton Waterfront on the Amphitheater Lawn,Lake Milton,,Ohio,44429,-80.9816,41.0929
Lake of the Pines Farmers Market,Highway 49 at Wolf Road,Grass Valley,Nevada,California,95949,-121.123,38.9853
Lake Orion Farmers' Market,93 S. Anderson,Lake Orion,Oakland,Michigan,48362,-83.23849,42.78292
Lake Oswego Farmers' Market,First Street and Evergreen Rd.,Lake Oswego,Clackamas,Oregon,97034,-122.66452,45.418092
Lake Placid Farmers Market,17 Algonquin Drive,Lake Placid,Essex,New York,12946,-73.99805,44.29433
Lake Saint Louis Farmers and Artists Market,Hwy 40 and Lake Saint Louis Boulevard,O'Fallon,St. Charles,Missouri,63366,-90.770229,38.805214
Lake Wales Farmers Market,Park Ave & Stuart Ave,Lake Wales,Polk,Florida,33853,-81.593227,27.902128
"Lake Worth Farmer's Market, Waterside",1 South Ocean Blvd.,Lake Worth,,Florida,33460,-80.0386,26.6147
Lake Zurich Area Farmers Market,200 S. Rand Rd,Lake Zurich,,Illinois,60047,-88.1092,42.1936
Lakehurst Revitalization Assocciation Farmer's Market,Lake Horicon,Lakehurst,,New Jersey,8733,-74.3228,40.0087
Lakeland Downtown Farmers Curb Market,200 N. Kentucky Avenue,Lakeland,Polk,Florida,33801,-81.955223,28.045897
Lakeport Farmers Market,Main St. & 2d,Kelseyville,Lake,California,95451,-122.839,38.9779
Lakes Area Farmers Market,1602 15th street,Spirit Lake,Dickinson,Iowa,51360,-95.1140916,43.4255548
Lakes Area Farmers Market Cooperative,,detroit lakes,Becker,Minnesota,56501,-95.851604,46.807991
Lakes Park Farmers Market,7330 Gladiolus Dr,Ft. Myers,Lee,Florida,33919,-81.87673219,26.52504221
Lakes Region Farmers Market,709 Roosevelt Trail,Windham,Cumberland,Maine,4062,-70.4356,43.8314
Lakeshore Farmers Market,7455 Wofford Heights Bvld,Wofford Heights,Kern,California,93285,-118.442581,35.710887
Lakeside Farmers' Market,1606 lakeside ave.,henrico,Henrico,Virginia,23228,-77.470522,37.614945
Lakeville Farmers Market,210 Holyoke,Lakeville,Dakota,Minnesota,55044,-93.2429,44.6451
Lakewood Earth and Food (LEAF) Community Farmers' Market,15425 Detroit,Lakewood,Cuyahoga,Ohio,44107,-81.804266,41.484539
Lakewood Farmers Market,"Detroit Ave., Between Warren and Cook",Lakewood,Cuyahoga,Ohio,44107,-81.800079,41.484856
Lakewood Farmers Market,Chautauqua Ave. and W Second St.,,Chautauqua,New York,,-79.3262,42.1018
Lakewood Ranch Farmers Market,Lakewood Ranch on Main Street,Lakewood Ranch,Sarasota,Florida,,-82.43,27.465
Lakview Farmers Market,14 Skyles Lane,Lakeview,Baxter,Arkansas,72642,-92.3814,36.3262
Lamar County Farmers Market,Large Pavilion at Vernon City Park,Vernon,Lamar,Alabama,33592,-88.1059,33.7568
Lamoille Valley Year Round Farmers Artisan Market,River Arts Center,Morrisville,Lamoille,Vermont,5661,-72.5984,44.5617
Lamoni Farmers' Market,Corner of Main St. and S. Linden St.,Lamoni,,Iowa,50140,-93.9333,40.6237
LaMoure Farmers Market,Highway 13,LaMoure,LaMoure,North Dakota,58458,-98.285601,46.355295
Lampe Park Farmers Market,1323 Waterloo Rd.,Gardnerville,,Nevada,,-119.753,38.9251
Lan-Oak Park District Farmer's Market,Ridge & Grant Street,Lansing,Cook,Illinois,60438,-87.5338799,41.5645616
Lanark Farmers Market,200 block of W. Claremont St. (Lanark City Park),Lanark,,Illinois,,-89.8344,42.1045
Lancaster Central Market,23 N. Market Street,Lancaster,Lancaster,Pennsylvania,17603,-76.306486,40.038277
Lancaster County Farmers Market,,Lancaster,Lancaster,South Carolina,29721,-80.7193,34.7212
Lancaster County Farmers Market,2 West Baltimore pike,Landsdowne,Lancaster,Pennsylvania,,-75.4309,40.0453
Lancaster Farmers Market,"Fairgrounds, Seven Bridge Road",Lancaster,Worcester,Massachusetts,1523,-71.6583,42.4645
Lancaster Farmers Market,Corner of Memorial Dr. & Wheeling St.,Lancaster,Fairfield,Ohio,43130,-82.6067,39.7151
Lancaster Farmers' Market,Centenial Park,Lancaster,Coos,New Hampshire,3584,-71.5706,44.4913
"Lancaster Market May-Oct Sat 8-1 Sun 9-2 Wed 4-7 Lancaster , New York",4913 Transit Road,lancaster,Erie,New York,14086,-78.695221,42.878437
Land O Lakes Farmers Market,Downtown,Land O Lakes,Vilas County,Wisconsin,,-89.2183,46.1618
Lander Valley Farmer's Market,1445 Main Street,Lander,Fremont,Wyoming,82520,-108.745862,42.841176
Lander Valley Farmer's Market,685 Main Street,Lander,Fremont,Wyoming,82520,-108.7392146,42.8344887
Lane County Holiday Farmers Market,"Lane County Fairgrounds, Auditorium Bldg.",Eugene,Lane,Oregon,97401,-123.105,44.0456
Lane County Saturday Farmers Market,E 8th & Oak Street,Eugene,Lane,Oregon,97401,-123.091,44.051
Lane County Thursday Farmers Market,"Lane County Fairgrounds, Museum Courtyard",Eugene,Lane,Oregon,97401,-123.105,44.0456
Lanesboro Farmers Market,Sylvan Park,Lanesboro,Fillmore,Minnesota,55949,-91.976595,43.718528
Langley Second Street Market,Second Street,Langley,,Washington,98260,-122.413,48.0401
Lansdale Farmers' Market,Railroad Ave at Main St,Lansdale,Montgomery,Pennsylvania,19446,-75.285287,40.242215
Lansdowne Farmers Market,30 North Lansdowne Avenue,Lansdowne,Delaware,Pennsylvania,19050,-75.2724185,39.9392368
Lansing - Old Town Farmers Market,On the corner of E. Grand River Ave. and Turner St.,Lansing,Ingham,Michigan,48906,-84.549751,42.747406
Lansing City Market,325 City Market Drive,Lansing,Ingham,Michigan,48912,-84.5471549,42.7357602
Lansing Farmers Market,29 Auburn Rd,Lansing,Tompkins,New York,14882,-76.5033848,42.5380668
Lapeer Farmers Market,287 W. Nepessing St.,Lapeer,Lapeer,Michigan,48446,-83.311217,43.054131
LaPorte Farmers Market,Downtown on State St. North of Courthouse,LaPorte,LaPorte,Indiana,46350,-86.7215,41.6111
Laramie Local Community Market,7th and Ord,Laramie,Albany,Wyoming,82070,-105.589052,41.304149
Larchmont Farmers Market,MetroNorth Parking Deck #3 off Chatsworth Avenue,Larchmont,Westchester,New York,10538,-73.75813,40.93258
Larchmont Village Farmers Market,"Larchmont Blvd., Lot #694",Tarzana,Los Angeles,California,91356,-118.324,34.0748
Larimer County Farmers' Market,200 W. Oak Street,Fort Collins,Larimer,Colorado,80521,-105.080197,40.585853
Larkridge Farmers' Market,I-25 & Hwy. 7 at Larkridge Retail Center,Thornton,Adams,Colorado,,-104.972,39.868
Larkspur Farmers Market,Larkspur Landing Circle,Novato,Marin,California,94949,-122.564,38.0983
Las Cruces Farmers' & Crafts Market,Downtown mall,Las Cruces,Dona Ana,New Mexico,,-106.779,32.31179
Las Olas Sunday Market,333 E. Las Olas Blvd.,Fort Lauderdale,Broward,Florida,33301,-80.139865,26.119447
Las Vegas Backyard Farmerts Market,Winchester Cultural Ctr,Las Vegas,Clark,Nevada,,-115.11,36.1317
Las Vegas Farmers Market - Bruce Trent Park,Bruce Trent Park-1600 N. Rampart,Las Vegas,Clark,Nevada,89134,-115.286708,36.187386
Las Vegas Farmers Market - Floyd Lamb Park,9200 Tule Springs Road,Las Vegas,Clark,Nevada,89131,-115.269456,36.32128
Las Vegas Farmers Market - Gardens Park,Gardens Park-10401 Garden Park Drive,Las Vegas,Clark,Nevada,89135,-115.321868,36.126229
LaSalle Farmers Market,2nd St. & Gooding St.,La Salle,,Illinois,61301,-89.097,41.3291
Lathrop Farmers' Market,City Park of Lathrop MO,Turney,Clinton,Missouri,64493,-94.3211,39.6347
Latrobe Farmers Market,Latrobe Memorial Stadium parking lot,Latrobe,Westmoreland,Pennsylvania,,-79.381726,40.311009
Laughing Daisy Neighborhood Market,217 Main Street,Kimberly,Twin Falls,Idaho,83341,-114.365,42.5348
Laupahoehoe Farmers' Market,Laupahoehoe - next to the Minit Stop on Hwy. 19,Laupahoehoe,Hawaii County,Hawaii,,-155.234,19.9842
Laurel Downtown Farmers' Market,13 1st Ave. N,Laurel,Yellowstone,Montana,59044,-108.771429,45.669815
Laurel Farmers' Market,300 Main Street,Laurel,Prince George's,Maryland,20707,-76.8439,39.1041
Laurens Farmers Market,Historic Downtown Laurens,Laurens,Laurens,South Carolina,29360,-82.0151,34.4946
LaVale Farmers' Market,1262 Vocke Road,LaVale,Allegany,Maryland,21502,-78.835,39.6314
Lavonia Georgia Farmers Market,East Main Street,Lavonia,Franklin,Georgia,30553,-83.1038,34.4314
Lawndale (Chicago) Farmers Market,3555 W. Ogden Ave.,Chicago,Cook,Illinois,60623,-87.7238,41.8774
Lawndale Farmers Market,14717 Burin Ave.,Lawndale,Los Angeles,California,90260,-118.354,33.8982
Lawrence County Farmers Market,Mahr & Taylor Streets,Lawrenceburg,Lawrence,Tennessee,38464,-87.3368,35.2401
Lawrence County Farmers Market,712 12th St.,Lawrenceville,Lawrence,Illinois,62439,-87.685,38.7257
Lawrence County Farmers Market,249 Industrial Park Road,Louisa,Lawrence,Kentucky,41320,-82.6032,38.1144
Lawrence County Farmers Market,Al Hwy 157 north,Moulton,Lawrence,Alabama,35650,-87.285562,34.504965
Lawrence Farmers Market,824 New Hampshire Street,Lawrence,Douglas,Kansas,66044,-95.2346826,38.9690095
Lawrence Farmers Market,Downtown park on Red Arrow Highway,Lawrence,Van Buren,Michigan,49064,-86.047422,42.221073
Lawrence Farmers Markets,Campagnone North Common,Lawrence,Essex,Massachusetts,1841,-71.159175,42.709994
Lawrence Farmers Markets,Route 28,Lawrence,Essex,Massachusetts,,-71.176976,42.715898
Lawrenceburg Farmers Market,Lawrenceburg Public Library,Milan,Ripley,Indiana,47031,-84.8498,39.0916
Lawrenceville Farmers Market,52nd St. and Harrison Street,Pittsburgh,Allegheny,Pennsylvania,15201,-79.955194,40.480901
Lawson Farmers' Market,"Downtown square, across form Lawson Super grocery store in Lawson MO",Lawson,Ray,Missouri,64062,-94.2043,39.4376
Lawton Farmers Market,920 S Sheridan Rd,Lawton,Comanche,Oklahoma,73501,-98.418596,34.598402
Laytonville Farmers' Market,44850 Hwy. 101,laytonville,Mendocino,California,95454,-123.482,39.6859
Lazy 5 Regional Park Farmers' Market,7100 Pyramid Highway,Spanish Springs,Washoe,Nevada,89436,-119.718283,39.626473
Le Grand Certified Farmers Market,Washington St. & Le Grand Rd.,Le Grand,Merced,California,95333,-120.248644,37.228671
Le Mars Area Farmers Market II,Bomgaars parking lot on Hwy 75,Le Mars,Plymouth,Iowa,51031,-96.1697,42.7896
Le Mars Area Farmers' Market,"Olson Cultural Event Center, 33 1st Street NE",Le Mars,Plymouth,Iowa,51031,-96.1156,42.7943
Lean Fat Organic Market,9871 Lean Street,Columbus,Franklin,Ohio,43085,-82.9988,39.9612
Learn It Grow It Eat It Youthmarket,169th St. & Boston Rd.,New York,Bronx,New York,10007,-73.9003,40.8312
Leavenworth Community Farmers Market,"Lions Club Park, Hwy2",Leavenworth,,Washington,98826,-120.661,47.5962
Leavenworth Farmers Market,7th and Cherokee Street,Leavenworth,Leavenworth,Kansas,66048,-94.917787,39.316574
Lebanon Downtown Farmers' Market,Main and Grant Streets,Lebanon,Linn,Oregon,97355,-122.9070482,44.5384263
Lebanon Farmers Market,579 Exeter Road,Lebanon,New London,Connecticut,6249,-72.212899,41.6357
Lebanon Farmers Market,4195 Maple Street,Lebanon,Wilson,Tennessee,37087,-86.2921,36.2105
Lebanon Farmers Market,200 S.Jefferson Av,Lebanon,Laclede,Missouri,65536,-92.662835,37.6798148
Lebanon Farmers Market,120 W. South Street,Lebanon,Warren,Ohio,,-84.2102,39.4324
Lebanon Farmers Market,35 S. Eighth St.,Lebanon,Lebanon,Pennsylvania,17042,-76.4263,40.3396
Lebanon Market,51 North Park Street,Lebanon,Grafton,New Hampshire,3766,-72.251941,43.64218
Lebanon Market,"Downtown Pavillon,Martin Luther KIng Blvd",Lebanon,Marion,Kentucky,40033,-85.255784,37.569532
Lebanon Valley Farmers Market,501 State Route 20,New Lebanon,Columbia,New York,12125,-73.390796,42.46738
Lebo Farmers Market,Broadway,Lebo,Coffey,Kansas,66856,-95.8638,38.4156
LEDYARD – TRI-TOWN FARMERS’ MARKET,"Tri-Town Center Parking Lot, Rte. 117",Ledyard,New London,Connecticut,,-72.015,41.4397
Lee,35 Frank P Consolati Way,Lee,Berkshire,Massachusetts,1238,-73.2497,42.3058
Lee Farmers Market,"Old Fire Station, Rt. 155",Lee,Strafford,New Hampshire,3824,-71.031,43.2989
Leeds Farmer's Market,6th Street,Leeds,Jefferson,Alabama,35094,-86.54514,33.54512
Leesburg Saturday Farmers Market,32 Catoctin Circle SE,Leesburg,Loudoun,Virginia,20175,-77.565929,39.107667
Leesburg Saturday Morning Market,501 W Main Street,Leesburg,Lake,Florida,34748,-81.877692,28.81125
Leesburg Wednesday Farmers Market,30 Catoctin Circle SE,Leesburg,Loudoun,Virginia,20175,-77.565751,39.107773
Leesport Farmers Market Inc.,312 Gernants Church Rd.,Leesport,Berks,Pennsylvania,19533,-75.9729,40.4553
Lehi Farmers Market,1870 North & State Street.,Lehi,Utah,Utah,84043,-111.8663,40.41026
Lehigh Growers' Market,Rt 309 & Landis St.,Coopersburg,Lehigh,Pennsylvania,18036,-75.384643,40.513081
Leicester Farmers Market,"Route 9 West, 1230 Main Street in Castle Restaurant Parking Lot",Leicester,Worcester,Massachusetts,1524,-71.915607,42.244432
Leighty's Farm Market,16187 Dunnings Highway,Newry,,Pennsylvania,16665,-78.4298,40.3663
Leland Farmers Market,River Street,Leland,Leelanau,Michigan,49654,-85.759187,45.0226921
Leland Farmers Market,North of Old Highway 61 at Highway 82 at 4-way stop,leland,Washington,Mississippi,38756,-90.9043,33.3984
Lemhi County Farmers' Market,Town Square Park on Main St.,Salmon,Lemhi,Idaho,83467,-113.89801,45.176531
Lemont Farmers' Market,133 Mt. Nittany Rd.,Lemont,Centre,Pennsylvania,16851,-77.817042,40.810447
Lemoore Farmers Market,D St.& Fox St.,Lemoore,Kings,California,93245,-119.786,36.3016
Lena Farmers Market,,Lena,Stephenson,Illinois,61032,-89.824531,42.378254
Lenny's Farmers market,110 North Hampton Street,Americus,Sumter,Georgia,31709,-84.2362646,32.0722535
Lenoir Bluegrass Farmers Market,112 Church Street,Lenoir,Caldwell,North Carolina,28645,-81.5401,35.9138
Lenoir County Farmers Market,100 Herritage Street,Kinston,Lenoir,North Carolina,28501,-77.582768,35.260139
Lenox Farmers Market,"Shakespeare & Co., 70 Kemble St, Lenox MA",LENOX,Berkshire,Massachusetts,1238,-73.281984,42.349537
Lenox/Canastota Farmers Market,Cor. of Main & Hickory St,Canastota,Madison,New York,13032,-75.755324,43.074781
Lents International Farmers Market,SE 92nd & Foster Road,Portland,Multnomah,Oregon,97266,-122.568841,45.480039
Leola Produce Market,Brethren Church Road,Leola,Lancaster,Pennsylvania,17540,-76.1745,40.1064
LeRoy Farmers Market,Kent St,LeRoy,Osceola,Michigan,49655,-85.4539,44.0361
LeRoy Farmers' Market,Trigon Park,Le Roy,Genesee,New York,14482,-77.985913,42.977546
LES / Grand Street Greenmarket,"Grand St, between Essex & Norfolk Sts",New York City,New York,New York,,-73.9884,40.7164
Leslie Farmers & Crafters Market,,Leslie,,Michigan,49251,-84.43247,42.451425
Letcher Farmers Market,Rossy Park,Letcher,Sanborn,South Dakota,57359,-98.136256,43.898836
Lettuce Eat Well Farmers Market,3820 Westwood Northern Blvd.,Cincinnati,Hamilton,Ohio,45211,-84.612297,39.166203
Leucadia/Encinitas Farmers Market and Art Fair,185 Union Street (cross street Vulcan),Encinitas,San Diego,California,92024,-119.601,37.2417
Lewis & Clark Farmers Market,By Sinex & Washburn,Washburn,McLean,North Dakota,58530,-100.846,46.7649
Lewis County Farmer's Market,North Pearl and Maple,Centralia,Lewis,Washington,98531,-122.954308,46.71933
Lewis County Farmers' Market,,Vanceburg,Lewis,Kentucky,41179,-83.318795,38.599243
Lewis County General Hospitals Farmers Market,7785 North State street,Lowville,Lewis,New York,13367,-75.500869,43.794595
Lewisburg Farmer's Market,214 E. Washington St.,Lewisburg,Greenbrier,West Virginia,24901,-80.443128,37.800849
Lewisburg Farmers Market,Fairground Road,Lewisburg,Union,Pennsylvania,17837,-76.9073,40.9597
Lewiston Farmers' Market,525 D Street,Lewiston,Nez Perce,Idaho,83501,-117.027,46.4222
Lewiston Farmers' Market,Maine Street and Lincoln Street,Lewiston,Androscoggin,Maine,4240,-70.2198,44.0929
Lewiston Farmers' Market,Pine Street and Bates Street,Lewiston,Androscoggin,Maine,4240,-70.2137,44.096
Lewistown Farmers Market,Symmes Parke,Lewistown,Fergus,Montana,59457,-109.414,47.0726
Lexington Downtown Farmers Market,McCrum's Parking Lot - Jefferson Street,Lexington,Rockbridge,Virginia,24450,-79.443,37.7845
Lexington (Virginia) Farmers Market,Downtown Parking Lot,Lexington,Rockbridge,Virginia,24450,-79.443073,37.784801
Lexington Farmers Market,Railroad Street,Lexington,Davidson,North Carolina,27292,-80.2519,35.821
Lexington Farmers market,corner of Mass Ave and Woburn Street,Lexington,Middlesex,Massachusetts,2420,-71.2225,42.4463
Lexington Farmers Market,"Grand Generation Center parking lot, Tyler & 6th",Lexington,Dawson,Nebraska,68850,-99.7361,40.7788
Lexington Farmers Market,3542 Route 42,Lexington,Greene,New York,12452,-74.380107,42.244475
Lexington's Old Mill Farmers Market,711 East Main Street,Lexington,Lexington,South Carolina,29072,-81.2288,33.9776
Libby Farmers Market,"Chamber of Commerce Parking Lot, 905 W. 9th St",Libby,Lincoln,Montana,,-115.558,48.3894
Liberal Community Farmers Market,4 Rock Island Rd.,Liberal,Seward,Kansas,67901,-100.922,37.0388
Liberty Area Farmers Market,1332 W Kansas St.,Liberty,,Missouri,64068,-94.4445,39.2431
Liberty City Community Green Market,5988 NW 7th Ave,Miami,Miami-Dade,Florida,33127,-80.2084333,25.8302179
Liberty County Farmers Market,Lion's Park Rest Stop,Chester,Liberty,Montana,59522,-110.9592,48.5142
Liberty County Farmers Market,Jefferson and 2nd St. W,Chester,Liberty,Montana,59522,-110.9691098,48.5115199
Liberty Farmers Market,100 Sullivan Avenue,Ferndale,Sullivan,New York,12734,-74.730389,41.780285
Liberty Heights Farmers' Market,12105 Ambasador Dr.,Colorado Springs,El Paso,Colorado,,-104.796,39.0044
Liberty Lake Farmers' Market,1421 N. Meadowwood Lane,Liberty Lake,Spokane,Washington,99019,-117.1033,47.67104
Liberty Wednesday Farmers' Market,Hwy 291 and Hwy 152,Liberty,Clay,Missouri,64068,-94.444108,39.243952
LifeGlow Foundation,14850 Family Trl,Hudson,Pasco,Florida,34669,-82.5863,28.3736
Ligonier Country Market,Springer Road,Ligonier,Westmoreland,Pennsylvania,15658,-79.267,40.2653
Lilburn Farmers' Market,76 Main Street,Lilburn,Gwinnett,Georgia,30047,-84.134223,33.885184
LILLINGTON FARMERS MARKET,401 North Lillington at Health Dept.,LILLINGTON,Harnett County,North Carolina,,-78.8112,35.4198
Lima Presbyterian Church Farmers Market,"7295 W. Main St., Rts 15A",Lima,Livingston,New York,,-77.6114,42.9048
Lime Springs Farmers Market,Brown Park,Lime Springs,Howard,Iowa,52155,-92.282828,43.448045
Limon Community Farmers' Market,941 Main,Limon,Lincoln,Colorado,,-103.689,39.2627
Lincoln City Farmers and Crafters Market,540 NE Hwy 101,Lincoln City,Lincoln,Oregon,97367,-124.01461,44.970081
Lincoln County Fairgrounds Farmers Market,633 NE 3rd Street,Newport,Lincoln,Oregon,7365,-124.044768,44.6382
Lincoln County Farm Bureau Farmers Market,,Hamlin,Lincoln,West Virginia,25523,-82.1052,38.279
Lincoln County Farmers Market,US Hwy 150,Stanford,Lincoln,Kentucky,40484,-84.648215,37.539478
Lincoln County Farmers Market @ DSS,1136 East Main Street,Lincolnton,Lincoln,North Carolina,28092,-81.241998,35.475835
Lincoln County Farmers Market at Denver,3633 Highway 16 North Business,Denver,Lincoln,North Carolina,28037,-81.025757,35.530259
Lincoln County Farmers Market in Downtown Lincolnton,225 West Water Street,Lincolnton,Lincoln,North Carolina,28092,-81.259168,35.469529
Lincoln County Producers' Markets,663 Main street,Pioche,Lincoln,Nevada,89043,-114.450808,37.932654
Lincoln County Producers' Markets,360 Lincoln Street,Caliente,Lincoln,Nevada,89008,-114.5149,37.61666
Lincoln Farmers Market,"F Street, between 5th and 6th Streets",Lincoln,Placer,California,95648,-121.297216,38.8931165
Lincoln Farmers' Market,5 Bagley Mountain Rd.,Lincoln,Penobscot,Maine,,-68.4267,45.4264
Lincoln Haymarket Farmers Market,7th & P Street,Lincoln Nebraska,Lancaster,Nebraska,68508,-96.710672,40.815303
Lincoln Hills Sun City Farmers Market,965 Orchard Creek Lodge,Lincoln,Placer,California,,-121.277872,38.868725
Lincoln Hospital Greenmarket,149 St & Morris,Bronx,Bronx,New York,10451,-73.9227,40.8174
Lincoln Mall Farmers Market,Rt. 30,Matteson,Cook,Illinois,60443,-87.7135,41.5034
Lincoln Park (Chicago) Farmers Market,2000 N-700 W lincoln Park High School Parking lot,Chicago,Cook,Illinois,60602,-87.6709,41.8971
Lincoln Park Farmers Market,"Southfield Road Parking Lot, between I-75 and Fort Street",Lincoln Park,Wayne,Michigan,48146,-83.180065,42.25133
Lincoln Piedmont Farmers Market,Piedmont Shopping Center,Lincoln,Lincoln,Nebraska,68510,-96.641897,40.81245
Lincoln Road Farmers Market,Lincoln Road (between Washington and Meridian),Miami,Miami-Dade,Florida,33139,-80.13394,25.79059
Lincoln Square Chicago Farmers Market,City parking lot adjacent to Brown Line station,Chicago,Cook,Illinois,60602,-87.8054,41.9891
Lincoln University Farmers Market,1219 Chestnut Street,Jefferson City,Cole,Missouri,65101,-92.174585,38.558049
Lincolnview Farms,,Van Wert,Van Wert County,Ohio,,-84.5837,40.8688
Lincolnville Farmers' Market,399 S. Riberia St.,Saint Augustine,St. Johns,Florida,32084,-81.313401,29.879389
Lincolnville Farmers' Market,2531 U.S. Route 1,Lincolnville,Waldo,Maine,4849,-69.0086,44.2822
Linda Vista Farmers' Market,6939 Linda Vista Rd.,San Diego,San Diego,California,92111,-117.170563,32.785047
Linden Farmers Market,N. Main Street,Linden,Genesee,Michigan,48451,-83.7814,42.8153
Lindon Farmers Market,60 N. State Street,Lindon,Utah,Utah,84042,-111.716,40.3385
Lindstrom Farmers Market II,Hwy. 8 @ St. Bridget's Catholic Church,Lindstrom,Chisago,Minnesota,55045,-92.8913,45.3605
