State,County,PK thru 12th Students 2009-10,PK thru 12th Students 2008-09,PK thru 12th Students 2007-08,PK thru 12th Students 2006-07,PK thru 12th Students 2005-06,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Male Students [Public School] 2009-10,Male Students [Public School] 2008-09,Male Students [Public School] 2007-08,Male Students [Public School] 2006-07,Male Students [Public School] 2005-06,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,Female Students [Public School] 2009-10,Female Students [Public School] 2008-09,Female Students [Public School] 2007-08,Female Students [Public School] 2006-07,Female Students [Public School] 2005-06,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2009-10,American Indian/Alaska Native Students [Public School] 2008-09,American Indian/Alaska Native Students [Public School] 2007-08,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2005-06,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2009-10,Asian or Asian/Pacific Islander Students [Public School] 2008-09,Asian or Asian/Pacific Islander Students [Public School] 2007-08,Asian or Asian/Pacific Islander Students [Public School] 2006-07,Asian or Asian/Pacific Islander Students [Public School] 2005-06,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Hispanic Students [Public School] 2009-10,Hispanic Students [Public School] 2008-09,Hispanic Students [Public School] 2007-08,Hispanic Students [Public School] 2006-07,Hispanic Students [Public School] 2005-06,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,Black Students [Public School] 2009-10,Black Students [Public School] 2008-09,Black Students [Public School] 2007-08,Black Students [Public School] 2006-07,Black Students [Public School] 2005-06,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,White Students [Public School] 2009-10,White Students [Public School] 2008-09,White Students [Public School] 2007-08,White Students [Public School] 2006-07,White Students [Public School] 2005-06,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2009-10,Hawaiian Nat./Pacific Isl. Students [Public School] 2008-09,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Two or More Races Students [Public School] 2009-10,Two or More Races Students [Public School] 2008-09
MINNESOTA,KITTSON COUNTY,716,739,756,764,832,354,352,375,363,377,387,393,426,335,330,344,352,361,368,371,406,4,7,6,2,3,5,6,7,1,5,6,9,6,7,6,6,23,24,19,12,14,13,12,20,5,4,3,3,1,2,3,8,644,636,678,689,714,728,737,791,0,0,0,†,†,12,6,7,†,†
OREGON,KLAMATH COUNTY,9794,10069,10419,10390,10453,4849,4873,4872,4802,4888,5091,5214,5359,4441,4489,4534,4456,4572,4742,4962,5095,651,699,694,626,697,739,795,854,114,116,121,138,117,134,134,165,1693,1614,1615,1536,1420,1478,1463,1527,100,87,111,107,116,119,126,156,6303,6496,6633,6851,7110,7363,7658,7752,13,15,11,†,†,416,335,221,†,†
TEXAS,KLEBERG COUNTY,5470,5494,5595,5581,5657,2778,2719,2755,2731,2812,2876,2890,2915,2679,2558,2597,2592,2682,2719,2691,2742,5,10,10,10,9,6,8,8,47,53,51,62,56,52,52,43,4509,4319,4376,4273,4380,4422,4395,4437,154,151,147,179,178,195,200,222,729,731,753,799,871,920,926,947,0,2,2,†,†,13,11,13,†,†
WASHINGTON,KLICKITAT COUNTY,3209,3258,3254,3258,3358,1716,1875,1736,1679,1690,1674,1684,1707,1511,1625,1455,1504,1534,1552,1556,1632,109,109,111,129,144,148,165,192,24,50,29,50,55,51,50,49,675,677,624,615,587,556,544,525,13,18,25,21,18,22,32,30,2264,2475,2269,2368,2420,2449,2449,2543,2,8,4,†,†,140,163,129,†,†
KENTUCKY,KNOTT COUNTY,2600,2510,2523,2501,2868,1362,1365,1351,1383,1323,1212,1340,1405,1180,1164,1196,1212,1188,1092,1161,1197,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,17,15,13,7,4,2,1,1,41,36,29,27,27,25,25,26,2477,2472,2503,2559,2479,2277,2475,2575,0,0,0,†,†,6,5,2,†,†
KENTUCKY,KNOX COUNTY,5516,5493,5456,5379,5931,2740,2770,2322,2876,2902,2944,2837,2901,2552,2567,2129,2648,2667,2633,2574,2598,9,9,3,5,6,3,3,3,14,12,8,7,7,6,5,6,46,38,30,31,19,18,14,12,69,70,69,82,76,72,65,63,5129,5186,4321,5399,5461,5478,5324,5415,2,2,1,†,†,23,20,19,†,†
INDIANA,KNOX COUNTY,5194,5211,5378,5413,5506,2687,2644,2660,2624,2617,2734,2776,2874,2584,2528,2577,2446,2482,2549,2545,2632,8,4,7,6,7,8,12,11,33,32,31,25,31,28,29,33,129,127,119,49,44,39,30,44,67,58,59,38,41,42,43,51,4888,4837,4905,4952,4976,5166,5207,5367,2,2,4,†,†,144,112,112,†,†
MAINE,KNOX COUNTY,6175,6287,6421,6623,6503,2347,1978,2399,2476,2519,2596,2669,2693,2232,1820,2289,2295,2320,2533,2599,2611,10,4,7,10,7,4,6,3,53,49,29,64,58,56,47,44,62,43,45,38,35,42,48,22,51,41,26,44,47,44,41,41,4382,3646,4502,4615,4692,4983,5126,5194,2,1,0,†,†,19,14,79,†,†
ILLINOIS,KNOX COUNTY,7790,7779,7695,7716,7858,3860,3907,3992,3690,3476,3757,3912,3959,3602,3571,3679,3454,3734,3447,3472,3499,16,16,20,40,17,23,13,11,32,33,41,34,44,49,53,45,561,552,527,328,305,303,314,295,608,567,591,638,617,663,743,756,5755,5830,6013,6104,6227,6166,6261,6351,3,4,3,†,†,487,476,476,†,†
TEXAS,KNOX COUNTY,762,763,762,762,813,337,329,318,344,352,350,346,388,333,342,316,336,355,352,350,355,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,0,336,319,288,285,273,260,261,289,41,47,49,65,79,85,84,95,270,288,284,327,355,356,349,359,0,0,0,†,†,23,16,12,†,†
TENNESSEE,KNOX COUNTY,56916,55697,53638,58909,54427,30488,30326,30008,29378,28786,28242,30927,28218,28612,28489,28030,27538,26911,26382,28736,26209,130,127,146,150,152,154,181,150,1196,1181,1118,1216,1114,1041,1091,955,3419,3058,2731,2284,2058,1799,1711,1298,8404,8461,8414,8406,8160,8024,9263,8093,44543,44899,44861,44860,44213,43606,47417,43931,79,80,89,†,†,1329,1009,679,†,†
OHIO,KNOX COUNTY,8190,8661,8707,‡,8515,3989,4024,4134,4079,4396,4383,4360,4349,3781,3867,3916,3876,4051,4112,4078,4024,22,23,26,22,22,20,27,17,39,35,37,27,29,31,22,29,167,160,141,77,74,75,75,73,36,54,59,51,57,59,50,53,7235,7377,7545,7778,8265,8310,8264,8201,5,5,2,†,†,266,237,240,†,†
NEBRASKA,KNOX COUNTY,1520,1558,1561,1544,1542,883,860,870,865,893,899,893,882,810,797,797,816,846,844,828,847,285,269,261,286,271,272,269,242,15,12,12,16,15,22,17,11,55,36,48,29,25,23,16,17,5,9,8,9,10,8,8,5,1307,1320,1304,1341,1418,1418,1411,1454,0,3,2,†,†,26,8,32,†,†
MISSOURI,KNOX COUNTY,559,554,563,566,591,263,276,286,290,285,278,270,280,239,241,247,269,269,285,296,311,1,1,0,1,1,1,1,0,1,2,2,2,2,1,0,0,2,5,6,7,7,10,1,2,8,8,5,8,8,7,8,7,485,496,516,541,536,544,556,582,1,0,0,†,†,4,5,4,†,†
ALASKA,KODIAK ISLAND BOROUGH,2595,2618,2689,2661,2749,1353,1338,1360,1395,1383,1433,1436,1489,1195,1185,1205,1200,1235,1228,1225,1260,561,519,520,528,557,589,579,617,642,652,648,631,614,649,657,672,236,216,201,198,198,214,211,204,15,12,18,18,17,25,29,29,987,1021,1077,1123,1162,1184,1185,1227,40,37,32,33,30,67,66,69,64,40
MINNESOTA,KOOCHICHING COUNTY,1980,2010,2050,2038,2042,963,979,1009,1017,1033,1058,1062,1061,913,938,965,953,965,978,976,981,118,131,162,191,189,220,223,162,6,7,6,10,6,6,5,4,19,25,15,11,8,9,8,10,37,31,17,17,20,21,12,21,1675,1712,1764,1741,1775,1780,1790,1845,1,1,1,†,†,20,10,9,†,†
IDAHO,KOOTENAI COUNTY,21119,21053,20965,20683,20349,11118,10853,10834,10918,10955,10960,10778,10663,10399,10272,10291,10262,10393,10302,10185,9977,201,239,334,284,357,363,344,357,207,222,223,325,272,264,260,236,1051,961,974,797,655,607,623,547,184,183,187,221,210,198,156,146,19366,19136,19074,19553,19854,19830,19580,19354,66,83,86,†,†,442,301,247,†,†
INDIANA,KOSCIUSKO COUNTY,14209,14359,14373,14620,14384,6265,6314,6292,6169,6190,6216,6359,6458,5840,5893,5955,5823,5898,5928,6016,5950,42,37,39,36,36,36,31,22,95,100,101,94,92,88,106,101,1753,1683,1545,1396,1363,1354,1327,1171,133,131,160,130,97,86,83,86,9817,10000,10103,10336,10500,10580,10828,11028,7,5,9,†,†,258,251,290,†,†
IOWA,KOSSUTH COUNTY,2113,1994,1983,2002,2112,1051,1015,1017,1051,1052,1045,1059,1087,1031,969,979,1011,997,1010,1019,1087,7,7,5,5,4,5,4,5,15,14,13,14,23,20,19,19,74,51,53,58,55,45,49,32,22,8,10,17,23,33,21,21,1920,1866,1872,1925,1944,1952,1985,2097,0,0,0,2,†,44,38,43,41,†
WISCONSIN,LA CROSSE COUNTY,16022,15977,16020,15740,15707,8313,8422,8413,8421,8412,8414,8257,8183,7841,7831,7860,7782,7725,7763,7636,7678,95,101,104,137,137,126,124,131,1263,1233,1235,1398,1430,1503,1513,1502,401,381,379,264,249,222,199,178,482,482,525,676,643,570,495,490,13291,13475,13533,13728,13678,13756,13562,13560,24,32,43,†,†,598,549,454,†,†
ARIZONA,LA PAZ COUNTY,2527,2634,2686,2742,2794,1278,1323,1322,1334,1219,1254,1422,1434,1183,1235,1221,1196,1119,1124,1320,1361,581,589,568,781,617,603,738,743,6,5,4,13,16,12,13,13,1203,1229,1212,992,871,860,1042,1057,13,19,26,44,38,36,51,39,548,613,621,700,796,867,898,943,1,0,3,†,†,109,103,109,†,†
COLORADO,LA PLATA COUNTY,6902,7016,6989,6870,6601,3656,3625,3575,3588,3582,3584,3544,3410,3488,3455,3397,3387,3415,3405,3326,3191,456,502,502,681,658,671,633,596,57,56,68,80,76,71,72,59,1284,1231,1201,962,961,902,907,863,42,38,43,71,70,77,62,63,5120,5095,5056,5181,5232,5268,5196,5020,4,9,7,†,†,181,149,95,†,†
TEXAS,LA SALLE COUNTY,1178,1197,1221,1234,1254,633,606,586,582,596,604,621,625,658,606,599,596,601,617,613,629,2,0,0,0,0,0,2,2,4,2,2,0,0,0,1,1,1190,1136,1110,1097,1114,1124,1124,1129,3,2,2,3,3,2,5,7,90,71,70,78,80,95,102,115,0,0,0,†,†,2,1,1,†,†
LOUISIANA,LA SALLE PARISH,2600,2607,2659,2715,2740,1359,1365,1354,1343,1335,1349,1383,1404,1281,1284,1295,1257,1272,1310,1332,1336,30,31,30,29,24,24,23,18,2,1,0,0,0,0,0,2,17,18,21,21,16,17,16,13,280,266,269,265,276,293,319,346,2290,2319,2313,2285,2291,2325,2357,2361,1,0,0,†,†,20,14,16,†,†
KANSAS,LABETTE COUNTY,3955,4080,4109,4257,4187,1975,1978,1936,1898,2008,2019,2032,1815,1717,1735,1706,1695,1814,1815,1868,1712,71,71,78,104,157,164,204,259,22,17,14,12,20,16,20,19,233,232,213,207,133,137,136,118,188,220,218,224,348,351,346,271,2762,2778,2717,2660,3164,3166,3194,2860,0,0,0,0,†,416,395,402,386,†
MINNESOTA,LAC QUI PARLE COUNTY,1368,1506,1564,1563,1616,582,573,600,609,660,674,663,678,547,558,566,586,634,672,664,687,4,7,8,6,6,8,5,8,19,20,20,28,30,19,17,17,43,42,43,38,44,36,25,27,14,11,17,25,19,16,12,12,1015,1019,1060,1098,1195,1267,1268,1301,9,11,6,†,†,25,21,12,†,†
PENNSYLVANIA,LACKAWANNA COUNTY,28100,28391,28669,29605,27820,14530,14388,14444,14230,14408,14836,14932,14207,13462,13535,13730,13593,13886,14418,14413,13712,36,46,49,48,48,37,35,34,659,536,362,633,588,544,536,422,2716,2464,2319,2065,1920,1901,1807,1429,1549,1567,1541,1370,1379,1361,1439,1244,22346,22702,23318,23707,24359,25411,25528,24790,164,204,324,†,†,522,404,261,†,†
MISSOURI,LACLEDE COUNTY,6143,6104,6153,6182,6141,3068,3216,3181,3218,3208,3215,3198,3220,2804,2941,2966,2925,2896,2938,2984,2921,49,43,49,50,47,52,54,44,40,34,32,41,37,38,34,31,147,165,142,142,114,117,110,87,96,89,85,93,83,75,66,56,5449,5771,5810,5817,5823,5871,5918,5923,7,6,1,†,†,84,49,28,†,†
MISSOURI,LAFAYETTE COUNTY,5412,5571,5574,5725,5811,2767,2801,2851,2882,2959,2952,3021,3094,2557,2621,2627,2597,2670,2673,2749,2746,19,18,17,14,15,17,17,10,35,32,30,28,31,21,24,23,157,155,157,128,136,111,154,160,187,205,203,226,216,205,214,242,4890,4982,5053,5083,5231,5271,5361,5405,5,5,0,†,†,31,25,18,†,†
MISSISSIPPI,LAFAYETTE COUNTY,5872,5713,5715,5614,5574,3414,3262,3172,3072,3040,3028,2961,2945,3116,3056,2936,2890,2780,2829,2815,2804,9,7,5,5,5,4,8,7,144,135,136,142,142,145,148,141,202,181,161,160,151,125,107,98,2253,2227,2240,2203,2153,2177,2175,2212,3900,3744,3548,3445,3369,3406,3338,3291,6,4,3,1,0,16,20,15,6,0
ARKANSAS,LAFAYETTE COUNTY,1238,1159,1285,1328,1354,565,533,603,627,586,677,710,733,540,541,574,611,576,611,620,624,0,0,0,0,1,1,2,0,1,2,6,2,2,2,2,4,23,22,18,24,11,16,11,8,567,564,629,663,651,702,737,737,505,473,512,539,497,567,578,608,0,0,0,1,†,9,13,12,9,†
FLORIDA,LAFAYETTE COUNTY,1163,1119,1089,1074,1082,601,‡,578,547,552,563,551,571,592,‡,579,557,532,492,494,511,1,‡,1,3,0,0,1,1,1,‡,2,1,1,1,1,7,232,‡,194,170,171,141,143,125,86,‡,96,105,100,112,115,116,838,‡,833,825,812,801,785,833,1,‡,0,†,†,34,‡,31,†,†
WISCONSIN,LAFAYETTE COUNTY,2885,2939,2957,3084,3120,1374,1387,1413,1379,1397,1436,1500,1520,1253,1268,1284,1283,1304,1334,1357,1380,3,2,3,9,8,15,12,12,10,14,17,18,17,17,13,14,134,133,117,88,76,74,61,56,29,21,20,20,9,7,8,11,2421,2457,2519,2527,2591,2657,2763,2807,1,3,3,†,†,29,25,18,†,†
LOUISIANA,LAFAYETTE PARISH,29905,29653,29762,30255,30731,15592,15430,15391,15244,15136,14862,15441,15674,14991,15021,14827,14661,14517,14151,14814,15057,99,93,106,103,99,87,85,98,654,623,562,559,511,461,461,435,1405,1322,1046,1017,890,834,718,627,13243,13210,13134,13000,12813,12716,12807,13000,15036,15042,15267,15226,15340,14915,16184,16571,2,11,3,†,†,144,150,100,†,†
LOUISIANA,LAFOURCHE PARISH,14831,15005,14988,14613,14515,7493,7447,7476,7544,7577,7628,7510,7463,7090,7012,7053,7069,7168,7180,7103,7052,576,615,628,676,669,623,638,619,138,119,113,123,107,110,114,120,673,662,508,501,433,401,341,276,3020,3025,3053,3199,3285,3256,3221,3157,9705,9613,9864,10114,10251,10418,10299,10343,4,4,3,†,†,467,421,360,†,†
INDIANA,LAGRANGE COUNTY,6041,6108,6209,6264,6233,3049,3095,3047,3051,3109,3184,3248,3254,2921,2945,2929,2858,2865,2894,2902,2979,33,33,36,16,20,19,11,9,22,24,29,20,19,23,23,25,430,411,384,335,322,322,319,317,31,31,27,17,23,24,18,19,5317,5401,5375,5521,5590,5690,5779,5863,1,2,0,†,†,136,138,125,†,†
ALASKA,LAKE AND PENINSULA BOROUGH,†,†,†,†,416,186,180,189,186,198,190,209,218,188,177,187,201,207,197,210,198,301,298,300,290,328,347,376,380,1,1,1,2,1,0,0,0,0,0,7,9,5,4,0,5,6,6,5,3,3,2,2,2,48,36,56,62,53,34,41,29,0,1,0,0,0,18,15,7,21,15
CALIFORNIA,LAKE COUNTY,8857,9663,9804,10091,10181,4805,4767,4548,4577,5010,4740,4930,5043,4340,4385,4269,4278,4653,4417,4668,4704,479,459,372,382,545,523,505,508,114,114,119,122,113,156,172,196,2681,2583,2454,2547,1966,1955,2015,1894,175,186,199,214,244,262,285,382,5163,5304,5184,5215,6057,6261,6621,6767,25,32,30,28,32,508,474,459,347,706
COLORADO,LAKE COUNTY,1376,1410,1357,1345,1357,597,616,598,600,637,621,620,605,570,608,590,608,619,597,569,605,6,26,7,6,6,8,3,4,0,2,1,3,6,5,7,6,802,810,833,817,835,806,780,791,2,2,1,2,5,3,5,3,337,370,340,380,404,396,394,406,0,0,0,†,†,20,14,6,†,†
FLORIDA,LAKE COUNTY,41050,40960,40669,39623,38060,21300,21151,21156,20455,20605,20461,19905,19473,20195,20168,19954,19384,19351,19287,18886,18587,189,195,341,376,227,221,188,184,1129,1102,1041,1033,917,890,823,686,8718,8265,8073,7549,6916,6899,6296,5564,6380,6472,6372,6386,6367,6413,6209,6073,23613,23993,24125,24495,25529,25325,25275,25553,16,23,29,†,†,1450,1269,1129,†,†
ILLINOIS,LAKE COUNTY,140044,141195,141066,140164,129148,32139,67932,68740,66493,63220,67968,67803,67375,29849,63787,64237,62252,67847,63657,63648,62889,213,453,479,218,235,460,553,249,3869,8749,8609,8689,8638,8200,7715,7529,17923,38081,37010,33826,33708,32695,31398,29480,4107,9868,10167,10618,10994,11159,10916,13249,33839,70315,72759,75409,77492,79111,80869,79757,111,175,200,†,†,1926,4078,3753,†,†
INDIANA,LAKE COUNTY,87604,87994,87582,87794,87258,43311,43749,44541,42810,43196,43032,43469,44774,41492,42105,42774,41114,41445,41458,41557,42484,254,273,330,273,246,270,282,237,1005,1010,1020,1069,1038,1017,1007,939,19511,18974,18444,15715,15314,14699,14264,13826,26527,27140,27658,29285,29539,29233,29200,29537,34510,35168,35892,37582,38504,39271,40273,42719,17,25,28,†,†,2979,3264,3943,†,†
MINNESOTA,LAKE COUNTY,1428,1442,1515,1532,1594,727,750,729,725,732,743,771,809,673,656,660,696,703,726,761,785,15,10,11,17,13,14,20,22,7,9,9,10,8,9,8,6,20,20,12,15,15,13,12,8,13,16,14,7,6,7,17,17,1335,1341,1330,1372,1393,1426,1475,1541,2,2,2,†,†,8,8,11,†,†
MICHIGAN,LAKE COUNTY,552,581,614,630,691,328,363,354,305,311,351,385,402,306,312,291,291,304,342,351,394,3,4,6,6,5,12,9,12,0,2,0,0,1,3,6,5,27,21,28,22,17,25,25,28,184,208,136,179,180,238,251,281,401,424,402,389,412,415,445,470,0,0,0,†,†,19,16,73,†,†
MONTANA,LAKE COUNTY,4270,4223,4224,4234,4269,1170,2237,2246,2256,2225,2217,2226,2227,1138,2135,2054,2014,1998,2007,2008,2042,1073,2025,1937,1967,1896,1850,1883,1889,6,19,16,35,39,47,38,33,58,99,125,64,74,77,86,70,20,30,33,34,32,29,29,25,1130,2108,2074,2170,2182,2221,2198,2252,6,14,15,†,†,15,77,100,†,†
OHIO,LAKE COUNTY,34071,34339,34578,34714,34586,16958,17075,17418,16934,17045,17085,17365,17195,15684,15960,16230,15731,15901,16006,16228,16405,31,33,40,40,39,37,38,33,405,392,394,382,377,354,318,320,2089,1931,1820,1550,1429,1327,1202,1148,1592,1522,1429,1376,1348,1265,1247,1154,27259,27929,28799,29317,29753,30108,30788,30945,12,6,8,†,†,1254,1222,1158,†,†
OREGON,LAKE COUNTY,1119,1103,1124,1120,1093,615,569,561,571,566,586,590,579,584,511,507,526,521,510,508,514,17,27,25,33,38,37,28,26,14,14,10,15,25,25,22,26,173,160,153,140,131,126,111,105,6,7,6,6,13,8,7,10,961,839,837,903,880,900,930,926,2,2,1,†,†,26,31,36,†,†
TENNESSEE,LAKE COUNTY,884,956,954,991,978,538,559,573,509,536,538,557,543,423,399,402,375,420,423,444,446,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,26,22,23,17,12,12,14,14,257,260,261,258,280,262,284,288,641,656,674,609,664,687,703,687,1,0,0,†,†,35,19,17,†,†
SOUTH DAKOTA,LAKE COUNTY,2034,2139,1980,1737,1763,1049,1016,1077,1070,932,831,716,707,931,941,969,944,815,775,680,696,20,28,33,29,35,29,31,28,11,14,15,15,15,16,14,15,50,40,39,31,31,25,17,11,9,16,19,21,21,19,20,15,1868,1840,1927,1918,1645,1517,1314,1334,0,2,2,†,†,22,17,11,†,†
MINNESOTA,LAKE OF THE WOODS COUNTY,551,537,550,585,645,251,265,292,294,286,286,299,328,233,239,231,257,250,264,286,317,11,11,12,14,15,15,19,16,2,5,6,7,8,6,4,4,5,7,6,3,2,3,3,5,6,7,8,11,11,12,13,12,441,460,477,516,500,514,546,608,0,0,0,†,†,19,14,14,†,†
GEORGIA,LAMAR COUNTY,2494,2498,2500,2463,2488,1334,1303,1271,1261,1240,1216,1212,1244,1272,1285,1283,1233,1223,1251,1221,1215,4,3,3,4,3,1,1,1,14,24,27,22,17,14,13,15,59,57,54,53,54,47,43,45,878,872,870,884,918,925,953,984,1575,1568,1537,1493,1471,1480,1423,1414,2,1,2,0,†,74,63,61,38,†
ALABAMA,LAMAR COUNTY,2350,2346,2343,2375,2389,1229,1281,1220,1198,1210,1207,1196,1199,1151,1164,1145,1146,1131,1135,1177,1187,0,2,2,0,0,0,2,4,2,1,1,1,1,2,0,6,36,39,42,29,31,29,19,17,334,387,399,397,398,394,414,429,1987,2005,1917,1917,1911,1917,1938,1930,0,0,0,†,†,21,11,4,†,†
TEXAS,LAMAR COUNTY,8877,9034,9163,9220,9331,4376,4457,4511,4537,4658,4669,4691,4789,4264,4338,4355,4340,4376,4494,4529,4542,133,139,144,153,154,146,149,142,57,51,55,83,77,66,62,62,971,939,900,802,752,682,612,545,1493,1535,1575,1675,1755,1843,1823,1886,5693,5884,5962,6164,6296,6426,6574,6696,5,8,7,†,†,288,239,223,†,†
MISSISSIPPI,LAMAR COUNTY,9218,8929,8624,8443,8240,5147,5095,5025,4811,4673,4516,4422,4346,4914,4830,4685,4544,4340,4213,4144,3995,11,13,11,11,12,8,7,4,156,137,137,127,124,121,106,97,275,249,251,222,238,202,171,158,2511,2422,2418,2245,2047,1926,1812,1705,6907,6969,6804,6697,6592,6472,6470,6377,1,1,1,1,0,200,134,88,52,0
TEXAS,LAMB COUNTY,3200,3147,3159,3202,3238,1628,1638,1605,1667,1641,1628,1671,1668,1509,1488,1454,1528,1501,1529,1527,1568,9,8,8,4,7,7,7,10,0,4,2,3,3,0,3,6,2128,2086,2023,2093,2040,2022,2019,2001,147,136,147,165,171,158,164,160,829,870,859,930,921,970,1005,1059,0,0,0,†,†,24,22,20,†,†
VERMONT,LAMOILLE COUNTY,3662,3668,3717,3718,3818,1931,1857,1920,1876,1914,1963,1943,2020,1799,1754,1753,1720,1716,1708,1721,1788,3,1,3,3,1,3,4,5,34,38,37,23,26,38,29,28,74,73,69,54,43,36,24,28,44,52,53,55,52,50,44,44,3522,3407,3478,3434,3475,3544,3563,3703,4,4,6,4,5,49,36,27,23,28
NORTH DAKOTA,LAMOURE COUNTY,778,755,801,834,681,369,365,365,361,362,392,362,358,354,365,360,352,339,341,307,323,7,5,3,3,3,3,7,4,1,1,2,4,5,6,6,7,8,9,0,5,9,8,7,8,7,9,6,10,10,8,10,11,695,686,690,691,674,708,639,651,0,0,0,†,†,5,20,24,†,†
TEXAS,LAMPASAS COUNTY,3686,3664,3776,3767,3714,2132,2133,2235,2200,1880,1942,1941,1916,2040,1987,2071,2049,1807,1834,1826,1798,25,35,36,45,45,43,41,39,46,39,38,84,48,42,38,45,1094,1042,1096,953,885,872,861,833,164,150,187,257,156,145,154,149,2693,2715,2799,2910,2553,2674,2673,2648,27,17,22,†,†,123,122,128,†,†
SOUTH CAROLINA,LANCASTER COUNTY,11687,11808,11523,11378,11243,6103,6022,6042,6016,6091,5994,5903,5783,5701,5629,5654,5567,5654,5466,5475,5432,22,25,29,39,39,32,27,27,89,87,76,88,81,65,75,62,789,706,690,557,521,476,423,336,3387,3339,3465,3642,3726,3692,3756,3786,7291,7311,7289,7257,7378,7195,7097,7004,6,4,4,†,†,220,179,143,†,†
PENNSYLVANIA,LANCASTER COUNTY,68323,68761,69942,72304,70064,34782,34711,34900,34483,34925,35797,36711,35628,33035,32787,32996,32816,33328,33964,34800,34537,105,92,102,102,121,139,130,139,2291,2199,2085,2011,1930,1879,1816,1738,11511,10996,10641,10119,10081,9978,9664,9041,4015,4066,4189,4279,4383,4478,4557,4280,48318,48845,49851,50788,51738,53287,55344,54967,29,24,40,†,†,1548,1276,988,†,†
NEBRASKA,LANCASTER COUNTY,39896,38995,38326,‡,37194,21410,21231,20851,20318,19909,19562,19169,18956,20228,19995,19709,19235,18730,18413,18173,17914,313,325,379,600,597,550,544,546,1781,1719,1659,1622,1525,1415,1327,1322,4617,4413,4151,2913,2718,2520,2297,2093,2357,2424,2398,3395,3356,3226,2964,2806,29987,29952,29783,31023,30443,30264,30210,30103,25,26,38,†,†,2558,2367,2152,†,†
VIRGINIA,LANCASTER COUNTY,1387,1380,1443,1452,1440,700,685,693,727,722,752,781,776,632,615,628,656,656,688,669,664,1,1,1,0,0,0,0,0,17,16,14,16,15,15,12,12,18,17,19,5,10,15,10,9,698,650,649,710,707,755,742,770,546,571,594,652,646,655,686,649,0,0,0,†,†,52,45,44,†,†
NEVADA,LANDER COUNTY,1135,1193,1285,1257,1288,561,569,576,580,613,663,641,656,531,541,542,556,580,622,616,632,46,47,54,76,81,78,83,64,4,6,6,5,6,6,8,7,338,338,334,286,288,313,277,282,12,11,6,14,15,9,7,5,667,691,699,755,803,879,882,930,0,0,0,†,†,25,17,19,†,†
OREGON,LANE COUNTY,46148,46662,47292,47005,45150,22834,22784,22917,22191,21806,22293,22197,23121,21910,21819,21867,21047,20881,21218,21248,22162,960,1036,1093,1182,1132,1219,1227,1893,961,1005,1074,1373,1423,1478,1455,1601,6314,6136,5874,5345,4509,4394,4136,4198,675,680,736,904,912,906,924,1104,32276,32233,32660,34434,34711,35514,35703,36487,196,204,183,†,†,3362,3309,3164,†,†
KANSAS,LANE COUNTY,365,370,360,379,365,168,153,162,169,172,174,175,180,179,171,183,196,172,163,178,176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,51,42,39,42,17,12,14,15,0,0,0,0,0,1,4,2,282,269,293,310,327,323,334,335,0,0,0,0,†,14,13,13,13,†
WISCONSIN,LANGLADE COUNTY,3079,3136,3231,3289,3337,1515,1524,1516,1576,1595,1632,1690,1706,1325,1361,1378,1420,1451,1503,1508,1531,37,47,50,62,71,70,64,65,22,25,25,20,24,22,19,15,96,80,62,64,43,51,47,43,33,32,33,40,28,33,30,27,2594,2652,2679,2810,2880,2959,3038,3087,0,1,1,†,†,58,48,44,†,†
GEORGIA,LANIER COUNTY,1801,1739,1687,1614,1647,951,952,920,944,897,883,835,853,823,852,824,857,796,766,746,765,5,3,4,3,1,1,0,0,20,22,19,19,13,14,13,16,69,74,77,69,48,37,32,30,456,465,469,481,500,487,484,494,1167,1197,1128,1176,1131,1110,1052,1078,0,0,0,1,†,57,43,47,52,†
